DESCRICAO                                     GAMA   UN |     MAT  D%  +DESP  +MARG  =MAT.C |     MO  +DERR  +LUCR   =MO.C |    FINAL
PORTA CORRER                                  base   un |  550.00  0%   0.00 192.50  742.50 | 300.00  45.00 120.75  465.75 |  1208.25
Porta de correr alumínio HST (2.4x2.2m)    premium   un | 1800.00  0%   0.00 630.00 2430.00 | 300.00  45.00 120.75  465.75 |  2895.75

Porta exterior segurança blindada             base   un |  650.00  0%   0.00 227.50  877.50 | 350.00  52.50 140.88  543.38 |  1420.88
PORTA ENTRADA                                media   un | 1200.00  0%   0.00 420.00 1620.00 | 350.00  52.50 140.88  543.38 |  2163.38

Porta interior favo 80x200cm + aro            base   un |   95.00  0%   0.00  33.25  128.25 | 150.00  22.50  60.37  232.88 |   361.12
Porta interior maciça 80x200cm + aro         media   un |  180.00  0%   0.00  63.00  243.00 | 150.00  22.50  60.37  232.88 |   475.88
PORTA INTERIOR BASICA                        media   un |  180.00  0%   0.00  63.00  243.00 | 150.00  22.50  60.37  232.88 |   475.88
PORTA INTERIOR MEDIA                         media   un |  280.00  0%   0.00  98.00  378.00 | 150.00  22.50  60.37  232.88 |   610.88
PORTA INTERIOR PREMIUM                     premium   un |  450.00  0%   0.00 157.50  607.50 | 150.00  22.50  60.37  232.88 |   840.38

PORTAO GARAGEM                                base   un | 2200.00  0%   0.00 770.00 2970.00 | 400.00  60.00 161.00  621.00 |  3591.00
Fornecimento e montagem de portao de corr  premium   un | 2200.00  0%   0.00 770.00 2970.00 | 150.00  22.50  60.37  232.88 |  3202.88
PORTAO ENTRADA                             premium   un | 2800.00  0%   0.00 980.00 3780.00 | 350.00  52.50 140.88  543.38 |  4323.38

RELVA NATURAL                                    -   m² |   12.00  0%   0.00   4.20   16.20 |   6.00   0.90   2.42    9.32 |    25.52

RELVA SINTETICA                                  -   m² |   35.00  0%   0.00  12.25   47.25 |  10.00   1.50   4.02   15.52 |    62.77

